"","EdHd","MoBd","JlHd","EhBd","BlBd","HdBd","PFiBd","PFlBl","CFdCPd","Length","AVG_MXL","AVG_LMAT","AVG_AGEMAT","AVG_LONGY","AVG_FECUND","AVG_EGGSIZE","Tp_pref","Q_pref"
"EdHd",1,0.199575987678797,0.0355533795241124,-0.118306767162771,0.0599387101005956,0.0963056603158112,0.178500440356005,-0.00308711660557192,0.244738950715258,-0.451767282821998,-0.44598654426982,-0.400501422403566,-0.341185944731464,-0.426364042277647,-0.133199586411866,-0.309436900813013,0.123805086967836,0.0143947930708639
"MoBd",0.199575987678797,1,0.108637274343515,0.491433755551791,-0.0236398576905353,-0.000563923245278903,0.250685532923825,-0.0412391726924158,0.0277401065982021,0.0129349776216299,0.0342487107521666,-0.0644351082677868,-0.104016067297291,0.0176547513633599,0.126596736750315,-0.037869114988266,-0.0616817861150531,-0.00902792470576931
"JlHd",0.0355533795241124,0.108637274343515,1,0.0473688185830422,0.382001679262392,0.0318068918973013,-0.0354748398935497,-0.310211558361404,0.0104957321095394,0.27963722507197,0.260412563705704,0.329061631894117,0.103511374819641,0.25464072706372,-0.000174700896614136,0.273616310966911,0.025328289575404,0.0702677736094385
"EhBd",-0.118306767162771,0.491433755551791,0.0473688185830422,1,0.196929531888011,0.446602084604335,0.33596396488368,0.0927423618092383,-0.061533691011485,-0.001329320265029,0.022974722971334,-0.0663516517846296,-0.071676230770044,0.00637702230257593,0.0679043738930109,0.145447281472097,-0.212559200120876,-0.0494913023765529
"BlBd",0.0599387101005956,-0.0236398576905353,0.382001679262392,0.196929531888011,1,0.291333815829999,0.288814245996675,-0.544177837808811,-0.270019861621089,0.26734670140666,0.26085355456455,0.36350747510528,0.451245751747661,0.372005717975567,0.320558146445513,0.0501794247560889,-0.0691049648306991,-0.000620033895073542
"HdBd",0.0963056603158112,-0.000563923245278903,0.0318068918973013,0.446602084604335,0.291333815829999,1,0.204119488597141,0.132486433754515,0.040629420495585,-0.271108370320703,-0.2688035543849,-0.275749804924401,-0.253325344371537,-0.278224774038951,-0.178684021187257,0.0133142225629889,-0.00213280499972265,0.0109917543060051
"PFiBd",0.178500440356005,0.250685532923825,-0.0354748398935497,0.33596396488368,0.288814245996675,0.204119488597141,1,0.133114476132444,-0.159541072377123,-0.0587880714034344,-0.0365630095088353,-0.0970421906747641,0.0341901566184695,-0.0208567689533854,0.271873463354397,-0.087949057665033,-0.0138375392663238,-0.101761013335432
"PFlBl",-0.00308711660557192,-0.0412391726924158,-0.310211558361404,0.0927423618092383,-0.544177837808811,0.132486433754515,0.133114476132444,1,0.149388041949425,-0.411335938785802,-0.407375843003786,-0.454601133572823,-0.426350360979056,-0.421973058549641,-0.275574701061009,-0.0801516934928869,0.0848700253671756,0.0586411661557638
"CFdCPd",0.244738950715258,0.0277401065982021,0.0104957321095394,-0.061533691011485,-0.270019861621089,0.040629420495585,-0.159541072377123,0.149388041949425,1,-0.0626099286645406,-0.0538928060736594,-0.0635598109401722,-0.330340894104529,-0.164782560489909,-0.2860819680988,0.113215814439723,-0.104044170598359,0.060910290338998
"Length",-0.451767282821998,0.0129349776216299,0.27963722507197,-0.001329320265029,0.26734670140666,-0.271108370320703,-0.0587880714034344,-0.411335938785802,-0.0626099286645406,1,0.980583476331246,0.825493567891437,0.571745056107386,0.838781169353736,0.351275130643572,0.349910360308026,-0.139045799136369,0.0799179510107944
