,distance,overlap,annual_avg,DistKM
distance,1.00,-0.52,-0.59,0.59
overlap,-0.52,1.00,0.26,-0.28
annual_avg,-0.59,0.26,1.00,-0.87
DistKM,0.59,-0.28,-0.87,1.00
