"","Pair","Site_ID1","Site_ID2","DistMetersEuclid","DistMetersWater","BioRealm","HydroBasin","Country","Ratio"
"1","S11928.S10038","S11928","S10038",2972.61629903607,2865.789402,"Palearctic",2080029400,"FIN",1.03727660412224
"2","S1193.S1177","S1193","S1177",1577.25450758905,1325.319116,"Palearctic",2080033080,"SWE",1.19009413547843
"3","S12317.S11924","S12317","S11924",1133.42158635643,1132.342726,"Palearctic",2080029400,"FIN",1.0009527683904
"4","S10038.S11928","S10038","S11928",2972.61629903607,2865.789402,"Palearctic",2080029400,"FIN",1.03727660412224
"5","S1177.S1193","S1177","S1193",1577.25450758905,1325.319116,"Palearctic",2080033080,"SWE",1.19009413547843
"6","S1215.S1213","S1215","S1213",736.148384488424,704.9940331,"Palearctic",2080033020,"SWE",1.04419094336364
"7","S1213.S1215","S1213","S1215",736.148384488424,704.9940331,"Palearctic",2080033020,"SWE",1.04419094336364
"8","S12306.S12298","S12306","S12298",575.721247872929,544.8311946,"Palearctic",2080029400,"FIN",1.05669655772116
"9","S12298.S12306","S12298","S12306",575.721247872929,544.8311946,"Palearctic",2080029400,"FIN",1.05669655772116
"10","S11924.S12317","S11924","S12317",1133.42158635643,1132.342726,"Palearctic",2080029400,"FIN",1.0009527683904
"11","S1416.S1414","S1416","S1414",79.8766306078361,40.11968557,"Palearctic",2080033090,"SWE",1.99095854000324
"12","S1414.S1416","S1414","S1416",79.8766306078361,40.11968557,"Palearctic",2080033090,"SWE",1.99095854000324
"13","S1598.S1587","S1598","S1587",638.873812890693,484.3865643,"Palearctic",2080032600,"SWE",1.3189338020016
"14","S1619.S1587","S1619","S1587",1252.68291362238,838.393486,"Palearctic",2080032600,"SWE",1.49414676347137
"15","S1599.S1593","S1599","S1593",214.927272370013,101.2796318,"Palearctic",2080032230,"SWE",2.12211743417903
"16","S1587.S1598","S1587","S1598",638.873812890693,484.3865643,"Palearctic",2080032600,"SWE",1.3189338020016
"17","S1619.S1598","S1619","S1598",624.445737808566,354.0069218,"Palearctic",2080032600,"SWE",1.76393652031853
"18","S1593.S1599","S1593","S1599",214.927272370013,101.2796318,"Palearctic",2080032230,"SWE",2.12211743417903
"19","S1587.S1619","S1587","S1619",1252.68291362238,838.393486,"Palearctic",2080032600,"SWE",1.49414676347137
"20","S1598.S1619","S1598","S1619",624.445737808566,354.0069218,"Palearctic",2080032600,"SWE",1.76393652031853
"21","S1761.S1750","S1761","S1750",707.027130665038,391.573741,"Palearctic",2080033120,"SWE",1.80560404499912
"22","S1750.S1761","S1750","S1761",707.027130665038,391.573741,"Palearctic",2080033120,"SWE",1.80560404499912
"23","S1800.S1798","S1800","S1798",412.468340527277,148.4238496,"Palearctic",2080032230,"SWE",2.77898964107771
"24","S1798.S1800","S1798","S1800",412.468340527277,148.4238496,"Palearctic",2080032230,"SWE",2.77898964107771
"25","S2163.S2162","S2163","S2162",1792.7394205694,1782.958176,"Palearctic",2080033120,"SWE",1.0054859641135
