Species,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph,CTmax,Tp_pref,Q_pref
Abramis brama,780,200,3.5,21.5,235034.5,1.6,NG_OS,Omnivore,30.32,20.87,7.82
Acanthopagrus australis,660,NA,4,14,NA,NA,NG_OS,Piscivore,38.35,24.26,1.03
Achondrostoma arcasii,250,20,2,NA,NA,NA,NG_OS,Omnivore,35.53,23.62,3.92
Alburnoides bipunctatus,156.67,50,2.5,15,5169,1.6,NG_OS,Omnivore,NA,21.51,13.55
Alburnus alburnus,220,75.75,1.88,8,6250,1.38,NG_OS,Invertivore,34.46,21.53,9.02
Alosa agone,380,215,2.5,6,NA,NA,NG_OS,Omnivore,NA,22.24,26.74
Alosa chrysochloris,500,279.5,2.5,4,519000,0.95,NG_OS,Invertivore-piscivore,NA,28.23,112.65
Ambassis agassizii,80,28,1,4,750,0.53,NG_OS,Invertivore,NA,30.3,3.2
Ambassis marianus,122,60,0.8,3,6642,0.7,NG_OS,Invertivore,NA,25.93,1.3
Ambloplites rupestris,430,98,2.5,18,6500,1.88,G_NS,Invertivore-piscivore,33.86,23.38,9.03
Ameiurus brunneus,290,254,3,6,1742,3,G_NS,Invertivore,38.6,27.48,8.4
Ameiurus melas,582.5,169,3,10,4250,2.27,G_NS,Invertivore-piscivore,36.76,25.82,8.64
Ameiurus natalis,470,233,2.5,7,4325,2.6,G_NS,Invertivore-piscivore,37.15,27.55,8.3
Ameiurus nebulosus,483.33,174.5,3,10,6333.33,2.1,G_NS,Invertivore-piscivore,36.83,23.01,9.66
Amia calva,1090,605,4.5,30,33000,2.58,G_NS,Invertivore-piscivore,36.44,27.69,15.29
Ammocrypta clara,71,52.5,1,3,192.5,0.875,NG_OS,Invertivore,35.22,27.97,69.28
Amniataba percoides,200,80,0.8,4,125000,0.4,NG_OS,Omnivore,NA,32.06,4.18
Anguilla anguilla,1776.67,587.5,11.75,52.5,2.00E+06,0.87,NG_OS,Invertivore-piscivore,35.12,20.3,5.29
Anguilla australis,1100,840,20.5,32,6250000,0.24,NG_OS,Invertivore-piscivore,NA,19.41,1.05
Anguilla reinhardtii,2000,740,25,45,2.00E+06,0.22,NG_OS,Invertivore-piscivore,NA,25.2,1.38
Anguilla rostrata,1120,520.5,12,50,1450000,0.73,NA,Invertivore-piscivore,36.6,27.51,7.61
Aphredoderus sayanus,140,35,2,5,144.5,1.35,G_NS,Invertivore-piscivore,36.75,28.24,8.56
