Species,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph,CTmax,Tp_pref,Q_pref
Aplodinotus grunniens,950,386,5.5,17,267500,1.4,NG_OS,Invertivore-piscivore,33.84,28.19,63.97
Arrhamphus sclerolepis,400,215,1,7,7500,2.5,NG_OS,Herbivore-detritivore,NA,28.65,4.63
Astyanax mexicanus,120,60,0.5,2,18714,0.7,NG_BH,Omnivore,38.02,29.32,10.59
Atherina presbyter,200,NA,1.5,4,224.4,NA,NG_OS,Invertivore,NA,22.59,3.14
Awaous acritosus,200,70,2,5,3.00E+05,0.3,G_SC,Omnivore,NA,27.37,2.3
Barbatula barbatula,183.33,55.5,2,7,3785.67,0.8,NG_OS,Invertivore,33.29,20.5,7.1
Barbatula quignardi,70,40,NA,NA,NA,NA,NA,Invertivore,NA,22.32,5.82
Barbus barbus,1000,280,4.5,16,36400,2.17,NG_OS,Invertivore,33.1,21.23,14.32
Barbus haasi,300,25,1,NA,5000,NA,NG_OS,Invertivore,34.98,24.62,2.96
Barbus meridionalis,267,NA,2.5,NA,23185,NA,NG_OS,Omnivore,33.99,23.31,6.39
Blicca bjoerkna,346.67,135,3.25,12.5,72666.67,1.67,NG_OS,Omnivore,30.86,20.95,9.32
Campostoma anomalum,220,94.5,2.5,5,2475,1.7,NG_BH,Herbivore-detritivore,35.63,25.87,7.78
Campostoma oligolepis,220,94,2.5,4,1510,1.4,NG_BH,Herbivore-detritivore,35.17,26.32,9.34
Carassius auratus,562.5,132.17,2.5,14.67,217833.33,1.48,NG_BH,Omnivore,38.52,24.47,7.65
Carassius carassius,563.33,95,2.25,12.5,61935.5,1.39,NG_OS,Omnivore,31.41,20.65,6.23
Carassius gibelio,433.33,138.75,2,27.5,261666.67,1.11,NG_OS,Omnivore,NA,21.36,13.03
Carpiodes carpio,640,291.75,4,11,1.00E+05,1.35,NG_OS,Herbivore-detritivore,36.43,28.94,24.2
Carpiodes cyprinus,660,277,4,12,187617.5,1.7,NG_OS,Herbivore-detritivore,NA,26.05,39.76
Carpiodes velifer,500,229,4,8,51999.5,1.2,NG_OS,Herbivore-detritivore,35.29,27.63,39.61
Catostomus commersonii,640,342,2.75,17,80000,2.41,NG_OS,Omnivore,33.43,23.06,5.66
Chelon labrosus,750,295,2,25,4.00E+05,1.3,NG_OS,Omnivore,NA,22.95,4.4
Chelon ramada,622.5,259,2,10,3.00E+05,0.59,NG_OS,Omnivore,NA,NA,NA
Chondrostoma nasus,486.67,197.75,3.75,14.5,45333.33,1.75,NG_OS,Omnivore,34.03,21.65,19.05
Cobitis taenia,142.5,53,1,5,1225,1.78,NG_OS,Invertivore,33.76,21.62,7.85
Coregonus albula,437.5,170,2,10,8766.67,1.39,NG_OS,Invertivore,28.68,17.32,1.39
Cottus bairdii,150,74,2,6,2000,2.35,G_NS,Invertivore,31.09,21.56,5.25
Cottus carolinae,180,105,2,6,691.5,2.25,G_NS,Invertivore,34.15,26.16,9.48
Cottus gobio,170,48.5,1.5,6.5,433.33,2.42,G_NS,Invertivore,30.32,19.03,5.94
Cottus poecilopus,150,60,2,6.5,250.25,3,G_NS,Invertivore,28.84,15.98,2.54
Craterocephalus marjoriae,97,33,0.9,2,200,1.02,NG_OS,Omnivore,NA,26.95,1.48
Craterocephalus stercusmuscarum,125,36,0.9,3,500,1.17,NG_OS,Omnivore,37.91,30.49,5.35
Ctenopharyngodon idella,1466.67,600,6,20.67,916666.67,1.38,NG_OS,Herbivore-detritivore,36.23,25.94,15.12
Cycleptus elongatus,930,574,5.5,13,112873.5,2.2,NG_OS,Omnivore,35.27,29.01,94.29
Cyprinella galactura,150,60.5,1.5,4,1109.5,1.6,G_NS,Invertivore,37.42,25.13,9.06
Cyprinella lutrensis,90,45.5,1.5,3,842.5,1.15,G_NS,Omnivore,37.73,28.81,10.7
Cyprinella spiloptera,120,42.5,1.5,5,7474,1.2,G_NS,Omnivore,36.47,24.64,16.55
Cyprinella venusta,190,37,1.5,4,459,1.155,G_NS,Invertivore,38.69,29.4,12.73
Cyprinodon pecosensis,50,20,0.5,3,130,NA,NG_OS,Omnivore,NA,30.29,18.7
Cyprinus carpio,1230,420,3.63,36.75,887750,1.3,NG_OS,Omnivore,36.44,24.83,8.64
Dicentrarchus labrax,1015,420,5.5,30,1100785,1.13,NG_OS,Piscivore,33.43,21.47,3.39
Dorosoma cepedianum,570,212.5,2,10,283158.5,0.75,NG_OS,Omnivore,35.3,28.06,23.5
Dorosoma petenense,220,93.5,2,4,12900,0.82,NG_OS,Invertivore,33.06,28.86,21.65
Erimystax insignis,92,52.1,1,2.5,550,1.675,NG_OS,Invertivore,35.92,24.54,9.07
Esox americanus,394,153,2,8,2385,1.95,NG_OS,Piscivore,36.2,27.49,6.75
Esox lucius,1435,478,3.67,27.33,220672.75,2.76,NG_OS,Piscivore,28.98,19.78,6.23
Esox masquinongy,1830,711.5,4,39,230358.5,3,NG_OS,Piscivore,35.42,24.2,12.71
Etheostoma asprigene,71,43,1,3,209,1.06,NG_BH,Invertivore,35.91,29.11,36.91
Etheostoma blennioides,170,63,1.5,5,1200,1.83,G_NS,Invertivore,35.76,24.16,8.01
Etheostoma caeruleum,77,42,1,5,739,1.45,NG_BH,Invertivore,34.9,24.62,9.54
Etheostoma camurum,84,61,1,3,100,1.9,NG_BH,Invertivore,34.99,23.62,26.11
Etheostoma chlorobranchium,100,56.5,1,5,400,1.42,G_NS,Invertivore,34.69,21.15,4.17
Etheostoma cinereum,120,60.5,1.5,4.3,150,2.05,G_SC,Invertivore,35.78,25.38,12.23
Etheostoma exile,72,44,1,4,1198,1.05,NG_OS,Invertivore,31.98,21.6,3.61
Etheostoma flabellare,84,50.5,1.5,5,1265,2.45,G_NS,Invertivore,34.88,24.45,6.49
Etheostoma jessiae,68,35,1,3,440,1.55,NG_BH,Invertivore,NA,25.5,32.71
Etheostoma kennicotti,83,30,1,3,130,2.15,G_NS,Invertivore,36.18,25.5,7.61
Etheostoma nigrum,72,46,1,4,723,1.225,G_NS,Invertivore,32.83,24.2,8.84
Etheostoma rufilineatum,84,54,1,4,177,1.9,NG_BH,Invertivore,35.39,25.15,15.31
Etheostoma swannanoa,90,57,1.5,4,120,2.05,NG_BH,Invertivore,35.24,28.24,7.39
Etheostoma tennesseense,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.93,8.68
Etheostoma vulneratum,80,44,2,4,91.5,3,G_NS,Invertivore,34.84,22.63,5.24
Etheostoma zonale,78,43,1.5,4,155.5,1.21,NG_BH,Invertivore,35.48,24.56,9.48
Fundulus catenatus,200,84,1,5,136.5,2,NG_OS,Invertivore,39.01,26.38,10.34
Fundulus diaphanus,100,40,1.5,3,142,1.45,NG_BH,Invertivore,37.87,22.29,8.51
Fundulus notatus,80,48,1,3,95,1.25,NG_BH,Omnivore,38.67,28.86,12.22
Fundulus zebrinus,80,48,2,3,65,1.25,NG_OS,Invertivore,39.65,27.95,5.83
Gambusia affinis,50,22,0.1,2,200.33,1.88,Bearer,Invertivore,40.23,28.62,9.46
Gambusia holbrooki,43.75,19.75,0.33,1.63,949.67,1.8,Bearer,Omnivore,39.77,27.3,4.28
Gasterosteus aculeatus,105,40.08,0.92,4.33,574.75,1.53,G_NS,Invertivore,31.28,19.75,6.08
Glossamia aprion,250,70,1,5,500,1.5,Bearer,Invertivore-piscivore,NA,31.47,4.32
Gobio gobio,200,67.9,2,8.5,6272.5,1.52,NG_OS,Invertivore,29,20.87,7.85
Gobio lozanoi,131.5,NA,1,NA,2000,NA,NG_OS,Invertivore,NA,23.86,4.24
Gobio occitaniae,155,NA,NA,NA,NA,NA,NA,Invertivore,NA,23.5,6.99
Gobiomorphus australis,225,75,3,8,180000,0.5,G_SC,Invertivore,NA,24.61,1.17
Gobiomorphus coxii,190,60,2,7,150000,0.5,G_SC,Invertivore,NA,23.81,0.88
Gymnocephalus cernua,262.5,100,2,10.67,106250,0.88,NG_OS,Invertivore,30.09,20.24,8.56
Hiodon alosoides,520,343,6.5,14,14763,3,NG_OS,Invertivore-piscivore,32.78,27.48,247.89
Hiodon tergisus,470,271.5,4,10,11100,2,NG_OS,Invertivore,NA,25.3,165.59
Hybognathus nuchalis,180,73,1.5,3,4500,0.9,NG_OS,Herbivore-detritivore,37.78,28.75,41.4
Hybognathus placitus,130,43,1,2,2275.5,1,NG_OS,Herbivore-detritivore,37.18,29.12,12.45
Hybopsis amblops,100,53.5,1,2,1000,0.96,NG_OS,Invertivore,37.23,25.13,10.41
Hypentelium nigricans,610,191.5,3.5,10,30000,3,NG_OS,Invertivore,33.81,24.56,7.15
Hypophthalmichthys molitrix,1087.5,573.33,2.83,12,512500,1.17,NG_OS,Herbivore-detritivore,36.27,26.69,75.36
Hypophthalmichthys nobilis,1276.67,608.33,4.5,20.33,1233458.33,2.43,NG_OS,Herbivore-detritivore,37.92,27.89,232.36
Hypseleotris compressa,120,50,1,5,32000,0.32,G_SC,Omnivore,NA,27.95,3.33
Hypseleotris galii,55,20,0.4,3,600,0.64,G_SC,Invertivore,38.15,26.08,1.99
Hypseleotris klunzingeri,60,30,1,3,1350,0.45,G_SC,Invertivore,37.04,27.26,4.33
Ictalurus furcatus,1650,590,6,21,19712,3.95,G_NS,Piscivore,38.04,29.29,24.62
Ictalurus punctatus,1320,279.5,2.5,25,35800,3.6,G_NS,Invertivore-piscivore,37.02,27.89,14.24
Ictiobus bubalus,1120,344.5,4.5,15,302400,2,NG_BH,Herbivore-detritivore,36.96,29.03,63.91
Ictiobus cyprinellus,1230,340,5.5,20,425000,1.5,NG_OS,Herbivore-detritivore,35.45,28.29,67.41
Ictiobus niger,1230,355,2,24,201276,2.1,NG_BH,Herbivore-detritivore,35.84,27.79,82.82
Kuhlia rupestris,450,200,4,7,NA,NA,NG_OS,Invertivore,38.18,26.97,4.75
Labidesthes sicculus,130,70,1,2,785,1,NG_OS,Invertivore,35.23,28.04,14.47
Leiopotherapon unicolor,330,60,0.5,5,1.00E+05,0.6,NG_OS,Omnivore,NA,31.79,2.19
Lepisosteus oculatus,1120,544,3.5,18,7785,3.65,NG_BH,Piscivore,NA,29.85,27.63
Lepisosteus osseus,2000,761,5,32,39133,2.85,NG_BH,Piscivore,35.98,28.41,28.78
Lepisosteus platostomus,880,431.5,2.5,20,36460,2.65,NG_BH,Invertivore-piscivore,36.1,28.86,68.69
Lepomis auritus,305,75,2,8,4764,1.2,G_NS,Invertivore,35.93,27.43,7.51
Lepomis cyanellus,310,71,2,10,6000,0.9,G_NS,Invertivore-piscivore,37.59,27.21,7.3
Lepomis gibbosus,362.5,92.67,2.33,10.67,2900,1,G_NS,Invertivore,35.86,22.84,9.08
Lepomis gulosus,310,87.5,1.5,8,33850,1.01,G_NS,Invertivore-piscivore,37.29,28.22,9.37
Lepomis humilis,150,52,2,7,2437.5,0.5,G_NS,Invertivore,35.82,28.72,16.89
Lepomis macrochirus,410,112,1.5,11,40950,1.2,G_NS,Invertivore-piscivore,36.81,27.09,8.59
Lepomis megalotis,240,77,2,9,11148,1.78,G_NS,Invertivore,37.26,28.56,10.8
Lepomis microlophus,432,155,2,8,44500,0.95,G_NS,Invertivore-piscivore,38.29,28.29,8.91
Leucaspius delineatus,90,36.7,1,2.5,641.67,1.07,G_SC,Omnivore,35.47,21.1,6.74
Leuciscus aspius,933.33,200,4,11,127979.5,1.45,NG_OS,Piscivore,34.92,21.05,32.41
Leuciscus burdigalensis,400,NA,NA,NA,NA,NA,NG_OS,Omnivore,NA,22.37,8.24
Leuciscus idus,720,113.33,5.33,18.67,93250,1.94,NG_OS,Omnivore,32.6,19.87,6.68
Leuciscus leuciscus,400,162.5,2.5,15.5,15000,1.45,NG_OS,Omnivore,32.57,20.48,9.7
Lota lota,1390,347,3.83,16.67,709930.5,1.41,NG_OS,Invertivore-piscivore,28.99,17.67,6.56
Lucania parva,50,25.4,0.33,3,55.5,1.02,NG_BH,Invertivore,38.38,29.07,5.48
Luciobarbus graellsii,725,175,4,16,17000,NA,NG_OS,Omnivore,35.13,23.86,3.78
Luxilus chrysocephalus,180,67,2,6,1025,1.24,G_NS,Omnivore,35.64,25.45,9
Luxilus coccogenis,140,70.5,2,4,968,1.41,G_NS,Invertivore,35.42,22.46,3.58
Luxilus cornutus,180,55.5,2,9,2170,1.25,G_NS,Omnivore,34.17,22.75,6.6
Lythrurus lirus,75,45,2,3,1000,NA,NG_BH,Invertivore,36.23,26.15,12.38
Maccullochella mariensis,800,300,4,48,1.00E+05,3.25,G_SC,Piscivore,NA,26.69,0.25
Macquaria ambigua,700,397,4,15,4.00E+05,1.1,NG_OS,Invertivore-piscivore,NA,29.22,10.13
Macquaria novemaculeata,600,200,5,22,1.00E+06,0.8,NG_OS,Invertivore-piscivore,NA,24.23,2.39
Macrhybopsis aestivalis,76,53.25,1,1.5,677.5,0.8,NG_OS,Invertivore,35.44,29.27,38.11
Macrhybopsis storeriana,230,105,1.5,4,6524.78,1.4,NG_OS,Invertivore,35.43,28.07,142.03
Megalops cyprinoides,1500,250,NA,44,NA,NA,NG_OS,Piscivore,38.1,30.65,8.34
Melanotaenia duboulayi,110,27,0.8,4,500,0.93,NG_OS,Omnivore,39.01,26.33,1.03
Menidia audens,150,90,1,2,20000,0.93,NG_OS,Invertivore,NA,29.95,47.92
Menidia beryllina,150,90,1,2,20000,0.93,NG_OS,Invertivore,NA,30.11,15.01
Micropterus dolomieu,690,265,3,15,14858,2.15,G_NS,Piscivore,35.44,23.92,9.8
Micropterus punctulatus,635,249.5,2.25,11,24050,1.25,G_NS,Piscivore,38.02,27.86,11.57
Micropterus salmoides,852.5,223,3,15.67,38250,1.6,G_SC,Piscivore,35.66,26.18,7.5
Minytrema melanops,500,317.5,3,8,40000,2.45,NG_OS,Invertivore,33.32,27.85,13.36
Misgurnus anguillicaudatus,248,102,2,10,2000,1.06,NG_BH,Omnivore,34.62,24.95,21.99
Mogurnda adspersa,140,55,0.5,3,500,1.03,G_SC,Invertivore,NA,27.68,2.19
Morone americana,495,232.5,2.5,14.5,163105,0.89,NG_OS,Invertivore-piscivore,34.95,24.53,35.25
Morone chrysops,450,273,2.5,9,527850,0.85,NG_OS,Invertivore-piscivore,35.47,28.05,33.01
Morone mississippiensis,460,234,3,9,26850,0.8,NG_OS,Invertivore-piscivore,37.05,27.64,30.36
Morone saxatilis,2000,450,5,31,2255500,1.18,NG_OS,Piscivore,35.01,28.3,26.31
Moxostoma anisurum,740,404.5,6,14,25625,1.2,NG_OS,Invertivore,32.72,23.94,26.2
Moxostoma breviceps,391,390,4,8,20250,3.2,NG_OS,Invertivore,35.42,24.3,67.88
Moxostoma carinatum,770,411,5,29,14581.5,3.35,NG_OS,Invertivore,35.78,25.5,27.83
Moxostoma duquesnii,510,230,4.5,10,9304.5,2.4,NG_OS,Invertivore,35.47,25.5,10.14
Moxostoma erythrurum,780,296.5,4,11,15725,2.35,NG_OS,Invertivore,35.18,25.46,10.17
Moxostoma macrolepidotum,750,365,4,14,26631,1.85,NG_OS,Invertivore,33.04,25.42,18.11
Mugil cephalus,1970,340,3,16,5800000,0.9,NG_OS,Herbivore-detritivore,NA,27.72,5.19
Nannoperca oxleyana,91,23,0.5,5,1300,0.9,NG_OS,Invertivore,NA,26.16,1.03
Nematalosa erebi,470,150,1,5,3.00E+05,0.42,NG_OS,Herbivore-detritivore,NA,31.58,5.59
Neogobius melanostomus,246,40,3,4,3000,2.5,G_NS,Invertivore,35.41,22.2,302.95
Nocomis biguttatus,260,105,2.5,4,727.5,1.65,G_NS,Omnivore,33.99,24.7,5.5
Nocomis micropogon,320,108.5,3,5,700,1.25,G_NS,Omnivore,34.02,22.96,6.63
Notemigonus crysoleucas,300,60,2,9,125572.5,1.02,NG_BH,Omnivore,35.6,26.83,8.54
Notesthes robusta,350,200,2,10,2000,1,NG_OS,Piscivore,NA,27.04,1.95
Notropis atherinoides,130,56,1.5,5,4800.5,0.85,NG_OS,Invertivore,33.55,26.13,41.11
Notropis blennius,130,77,2.5,5,2450,0.78,NG_OS,Invertivore,34.17,27.21,288.92
Notropis dorsalis,80,62,1.5,4,1137.5,0.91,NG_OS,Omnivore,34.8,26.03,8.33
Notropis girardi,80,24,1.5,4,2129,0.68,NG_OS,Invertivore,37.91,30.12,20.3
Notropis greenei,75,NA,1.5,3,1000,1.11,NG_OS,Invertivore,NA,27.31,18.61
Notropis hudsonius,150,67,1.5,5,4499,0.95,NG_OS,Omnivore,31.21,23.29,22.38
Notropis jemezanus,75,NA,1,2,NA,1.5,NG_OS,Invertivore,35.8,29.97,31.96
Notropis leuciodus,82,37,1.5,3,1000,1.13,NG_BH,Invertivore,36.81,23.24,5.53
Notropis lutipinnis,75,39.65,2,5,800,1.6,NG_BH,Invertivore,34.88,27.05,4.06
Notropis micropteryx,62,NA,1,3,887.5,1.2,NG_BH,Invertivore,35.94,23.97,8.78
Notropis photogenis,140,62,1.5,3,4500,1.02,NG_OS,Invertivore,35.64,22.92,7.76
Notropis shumardi,100,41,2,3,1000,1,NG_OS,Invertivore,35.57,30.2,191.1
Notropis simus,100,55.25,1,3,1885,0.88,NG_OS,Omnivore,33.42,29.1,8.33
Notropis spectrunculus,75,47,1,3,1000,NA,NG_OS,Invertivore,NA,21.97,2.36
Notropis stramineus,81,46,1.5,3,1405,0.81,NG_OS,Omnivore,NA,26.15,9.09
Notropis telescopus,94,45,2,3,1000,1.29,NG_OS,Invertivore,33.84,25.11,9.06
Notropis texanus,86,37.5,2,6,648,0.82,NG_OS,Herbivore-detritivore,36.19,28.69,11.31
Notropis volucellus,76,32.5,1,3,354.5,0.9,NG_BH,Omnivore,37,25.22,14.88
Notropis wickliffi,78,NA,NA,NA,NA,NA,NA,Omnivore,NA,26.22,371.48
Noturus eleutherus,130,42,2,5,76,1.9,G_NS,Invertivore,37.91,25.78,32.98
Noturus flavus,310,115.5,3.5,9,697,2.65,G_NS,Invertivore,36.79,25.28,9.19
Noturus gyrinus,130,48,1.5,4,183,1.8,G_NS,Invertivore,39.06,27.62,10.07
Noturus nocturnus,150,70.5,1.5,4.5,100.5,2.25,G_NS,Invertivore,39.41,29.09,14.37
Oncorhynchus mykiss,975,234.67,3,11,3862.5,4.38,NG_BH,Invertivore-piscivore,29.79,20.88,4.46
Opsopoeodus emiliae,64,49,1.5,3,270,0.93,G_NS,Omnivore,36.92,29.08,17.03
Oreochromis mossambicus,390,100,0.6,10.67,950,3,Bearer,Omnivore,39.61,26.67,10.83
Oxyeleotris lineolata,450,250,3,7,2.00E+05,1.75,G_SC,Invertivore-piscivore,NA,31.66,7.24
Pachychilon pictum,170,NA,NA,NA,NA,NA,NG_OS,Omnivore,34.87,24.05,29.43
Parachondrostoma miegii,273.5,25,2,NA,1000,1.5,NG_OS,Herbivore-detritivore,35.53,23.62,3.34
Parachondrostoma toxostoma,300,35,3,10,5575,NA,NG_OS,Omnivore,34.17,23.16,11.86
Perca flavescens,500,157.5,3,11,105475,1.85,NG_BH,Invertivore-piscivore,30.7,22.55,9.67
Perca fluviatilis,570,122,3,18.5,32706.67,1.82,G_SC,Invertivore-piscivore,31.79,19.77,4.54
Percina aurantiaca,180,102.5,2,4,750,2.1,NG_BH,Invertivore,34.96,22.2,5.24
Percina burtoni,160,104,2.5,7,800,1.265,NG_BH,Invertivore,34.94,23.8,7.95
Percina caprodes,180,102.5,1.5,4,1600,1.31,NG_BH,Invertivore,31.93,24.92,15.37
Percina copelandi,72,35,1,4,536,1.4,NG_BH,Invertivore,34.01,26.64,21.92
Percina evides,96,68,2,4,266,1.45,NG_BH,Invertivore,34.96,24.8,13.73
Percina macrolepida,110,77.5,2,4,275,1.4,NG_BH,Invertivore,36.35,30.51,18.7
Percina maculata,110,73,1.5,4,1042.5,1.5,NG_BH,Invertivore,34.7,24.53,7.78
Percina phoxocephala,96,45,1,5,1025,1.45,NG_BH,Invertivore,35.54,27.34,21.28
Percina sciera,130,51,1,4.5,1040,1.5,NG_BH,Invertivore,36.4,28.89,15.21
Percina shumardi,78,52.5,1,4,800,1.1,NG_OS,Invertivore,33.45,27.32,136.28
Percina squamata,130,NA,2,4,1500,NA,NG_OS,Invertivore,34.85,22.78,5.72
Percina williamsi,91,NA,NA,NA,NA,NA,NA,Invertivore,NA,22.95,5.15
Percopsis omiscomaycus,200,72.5,1.5,8,1032.5,1.58,NG_OS,Invertivore,31.02,21,136.97
Phenacobius crassilabrum,110,73,1.5,2.8,2000,NA,G_NS,Invertivore,35.16,21.62,3.16
Phenacobius mirabilis,120,90,2,5,1240,1.28,NG_OS,Invertivore,37.97,27.69,12.39
Phenacobius uranops,120,79,1.5,3,2000,NA,NG_OS,Invertivore,36.26,24.86,11.9
Philypnodon grandiceps,120,42,1,3,2000,1.5,G_SC,Invertivore,NA,24.57,2.04
Philypnodon macrostomus,50,25,1,3,250,0.7,G_SC,Invertivore,NA,25.13,1.34
Phoxinus bigerri,81,NA,NA,NA,NA,NA,NA,Invertivore,33.1,21.86,5.08
Phoxinus phoxinus,140,50,2,8,2290,1.35,NG_OS,Omnivore,29.52,18.24,5.59
Pimephales notatus,110,49.75,1,4,2650,1.06,G_NS,Omnivore,34.76,24.99,9.68
Pimephales promelas,100,55,1.15,6,5382,1,G_NS,Omnivore,34.49,25.4,5.55
Pimephales vigilax,89,50,1,5,710,1.1,G_NS,Omnivore,37.46,29.49,19.99
Platichthys flesus,550,170,2.75,15,1125000,1.1,NG_OS,Invertivore,32.75,19.27,4.42
Poecilia reticulata,60,16,0.3,1,30,1.65,Bearer,Omnivore,39.76,25.82,11.32
Polyodon spathula,2210,1295,8.5,30,541150,2.95,NG_OS,Invertivore,34.48,28.67,146.49
Pomoxis annularis,530,150,2.5,13,164288.5,0.85,G_NS,Invertivore-piscivore,31.91,27.82,13.63
Pomoxis nigromaculatus,490,150,2.5,13,95500,0.97,G_NS,Invertivore-piscivore,35.21,26.2,13.34
Ponticola kessleri,220,84,2,NA,825,NA,G_SC,Invertivore-piscivore,34.03,21.27,75.22
Porochilus rendahli,240,110,1,4,1000,1.3,NG_OS,Invertivore,NA,31.47,5.01
Proterorhinus semilunaris,95,40,1.5,5,100,1.3,G_NS,Invertivore,NA,21.49,82.92
Pseudomugil mellis,43,9,0.3,2,125,1.2,NG_OS,Herbivore-detritivore,NA,27.33,0.96
Pseudomugil signifer,80,24,0.5,2,75,1.4,NG_OS,Invertivore,NA,27.07,1.83
Pseudorasbora parva,123,34.5,1,5,2235,1.42,G_SC,Omnivore,33.5,22.55,19.24
Pungitius pungitius,90,54.5,1.5,4,178,1.23,G_NS,Invertivore,28.36,19.74,6.78
Pylodictis olivaris,1550,341.5,4.5,24,52038,3.25,G_NS,Piscivore,37.59,28.11,20.21
Redigobius bikolanus,42,20,0.8,3,1500,0.3,G_SC,Invertivore,39.83,27.76,8.68
Retropinna semoni,100,33,0.5,2,1000,0.73,NG_OS,Invertivore,NA,25.92,2.76
Rhadinocentrus ornatus,80,18,0.8,4,150,1.25,NG_OS,Invertivore,NA,25.7,1.3
Rhinichthys atratulus,100,72,2,4,4757.5,1.5,NG_BH,Omnivore,33.68,22.51,5.32
Rhinichthys cataractae,178,75,2,5,1140.5,1.6,NG_BH,Invertivore,31.85,21.71,5.19
Rhodeus amarus,97.5,32.5,1,5.1,114.5,2.8,Bearer,Omnivore,34.1,21.67,17.62
Rhodeus sericeus,105,36.67,2.33,5,126,2.81,NG_BH,Omnivore,31.8,22.43,23.43
Rutilus rutilus,506.67,135,3.5,17,54426.67,1.28,NG_OS,Omnivore,30.71,19.91,5.23
Salaria fluviatilis,150,10,1,5,725,1,G_NS,Invertivore,34.96,25.03,6.28
Salmo salar,1500,685,6.5,14,10500,6,NG_BH,Invertivore-piscivore,31.1,17.25,5.09
Salmo trutta,1200,174.67,3,28.67,5087.5,4.21,NG_BH,Invertivore-piscivore,29.46,19.17,3.77
Salvelinus alpinus,1070,382.5,3.75,40,2871,4.6,NG_BH,Invertivore-piscivore,24.85,12.25,3.44
Salvelinus fontinalis,807.5,233.33,3.17,12.67,2852.75,4.31,NG_BH,Invertivore-piscivore,29.57,18.87,2.75
Sander canadensis,760,266.5,3.5,13,117104,1.25,NG_OS,Piscivore,32.29,25.28,196.81
Sander lucioperca,1275,366.67,3.67,17.33,277500,1.19,G_NS,Piscivore,34.4,21.07,8.18
Sander vitreus,1070,379.5,4.5,29,319000,1.95,NG_OS,Piscivore,33.24,24.18,16.82
Sarmarutilus rubilio,269,61,1.25,6,12004,1.3,NG_OS,Omnivore,NA,25.52,4.97
Scaphirhynchus platorynchus,1000,450,5.75,12,40000,2.535,NG_OS,Invertivore,35.99,28.37,387.65
Scardinius erythrophthalmus,507.5,72.67,2.33,18,177500,1.36,NG_OS,Omnivore,34.94,20.78,6.52
Semotilus atromaculatus,300,65,1.5,7,4327,1.55,G_NS,Invertivore-piscivore,34.58,24.79,5.87
Silurus glanis,4166.67,600,3,55,396000,2.17,G_SC,Piscivore,36.15,21.93,22.86
Squalius cephalus,633.33,171,3,15,74475,1.37,NG_OS,Omnivore,34.8,21.08,8.88
Squalius laietanus,201,NA,NA,NA,NA,NA,NA,Omnivore,35.82,25.06,4.36
