,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph
Macquaria_ambigua,700,397,4,15,4.00E+05,1.1,1,Invertivore-piscivore
Maccullochella_mariensis,800,300,4,48,1.00E+05,3.25,3,Piscivore
Amniataba_percoides,200,80,0.8,4,125000,0.4,1,Omnivore
Leiopotherapon_unicolor,330,60,0.5,5,1.00E+05,0.6,1,Omnivore
Macquaria_novemaculeata,600,200,5,22,1.00E+06,0.8,1,Invertivore-piscivore
Morone_americana,495,232.5,2.5,14.5,163105,0.89,1,Invertivore-piscivore
Morone_mississippiensis,460,234,3,9,26850,0.8,1,Invertivore-piscivore
Morone_saxatilis,2000,450,5,31,2255500,1.18,1,Piscivore
Morone_chrysops,450,273,2.5,9,527850,0.85,1,Invertivore-piscivore
Dicentrarchus_labrax,1015,420,5.5,30,1100785,1.13,1,Piscivore
Aplodinotus_grunniens,950,386,5.5,17,267500,1.4,1,Invertivore-piscivore
Lota_lota,1390,347,3.83,16.67,709930.5,1.41,1,Invertivore-piscivore
Percopsis_omiscomaycus,200,72.5,1.5,8,1032.5,1.58,1,Invertivore
Retropinna_semoni,100,33,0.5,2,1000,0.73,1,Invertivore
Oncorhynchus_mykiss,975,234.67,3,11,3862.5,4.38,2,Invertivore-piscivore
Salmo_trutta,1200,174.67,3,28.67,5087.5,4.21,2,Invertivore-piscivore
Salmo_salar,1500,685,6.5,14,10500,6,2,Invertivore-piscivore
Salvelinus_alpinus,1070,382.5,3.75,40,2871,4.6,2,Invertivore-piscivore
Salvelinus_fontinalis,807.5,233.33,3.17,12.67,2852.75,4.31,2,Invertivore-piscivore
Thymallus_thymallus,566.67,151.5,2.5,12,10333.33,2.67,2,Invertivore
Coregonus_albula,437.5,170,2,10,8766.67,1.39,1,Invertivore
Esox_lucius,1435,478,3.67,27.33,220672.75,2.76,1,Piscivore
Umbra_krameri,135,43.5,1.25,5,1147.5,1.95,3,Omnivore
Achondrostoma_arcasii,250,20,2,9.904801969,3871.381223,1.493439372,1,Omnivore
Parachondrostoma_miegii,273.5,25,2,9.231544294,1000,1.5,1,Herbivore-detritivore
Parachondrostoma_toxostoma,300,35,3,10,5575,1.496682645,1,Omnivore
Chondrostoma_nasus,486.67,197.75,3.75,14.5,45333.33,1.75,1,Omnivore
Telestes_souffia,230,30,3,10.68552712,5500,2,1,Invertivore
Alburnoides_bipunctatus,156.67,50,2.5,15,5169,1.6,1,Omnivore
Rutilus_rutilus,506.67,135,3.5,17,54426.67,1.28,1,Omnivore
Abramis_brama,780,200,3.5,21.5,235034.5,1.6,1,Omnivore
Blicca_bjoerkna,346.67,135,3.25,12.5,72666.67,1.67,1,Omnivore
