Species;Species_used_for_morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Abramis brama;Abramis brama;0.397435897;0.582905087;0.193730769;0.636374818;2.587183093;0.417105608;0.427800624;0.18413182;3.228958661;82
Acanthopagrus australis;Acanthopagrus butcheri;0.257335892;0.312709677;0.399996002;0.506912442;2.387663594;0.461087558;0.387096774;0.381928615;2.425312232;60
Achondrostoma arcasii;Achondrostoma arcasii;0.383017098;0.359907758;0.392035207;0.434414978;3.492962902;0.507366533;0.206647267;0.189963951;2.959343127;10.4
Alburnoides bipunctatus;Alburnoides bipunctatus;0.623262053;0.488984023;0.580383492;0.525739563;3.512796769;0.451359456;0.268386674;0.204675647;3.342143807;16
Alburnus alburnus;Alburnus alburnus;0.540985824;0.559971056;0.441100168;0.559971056;4.253526855;0.429576461;0.2766026;0.152191702;1.942321838;25
Alosa agone;Alosa fallax;0.367743118;0.555970246;0.888030782;0.590447952;3.632911556;0.470426748;0.193937095;0.135772914;3.687010528;60
Alosa chrysochloris;Alosa chrysochloris;0.39763413;0.642865555;0.737591048;0.652789513;3.794577156;0.561015951;0.18814041;0.146598491;2.570926861;50
Ambassis agassizii;Ambassis agassizii;0.496479313;0.604274606;0.555532408;0.510690673;2.758243586;0.598802445;0.307522142;0.230217237;2.792177326;8
Ambassis marianus;Ambassis marianus;0.527202703;0.499904068;0.368851351;0.430526243;2.724461056;0.567915826;0.338685045;0.117670423;2.660641509;10
Ambloplites rupestris;Ambloplites rupestris;0.385614211;0.417820293;0.497698274;0.524442688;2.514466546;0.607382193;0.342235628;0.196628382;2.313312287;43
Ameiurus brunneus;Ameiurus brunneus;0.346760551;0.306917386;0.458255224;0.530260362;4.230844064;0.559919101;0.32942065;0.165453434;1.978334006;29
Ameiurus melas;Ameiurus melas;0.210539107;0.404241848;0.326590325;0.48507337;4.10148913;0.570236413;0.389497283;0.157155275;2.213600411;66
Ameiurus natalis;Ameiurus natalis;0.21082667;0.576156738;0.45424942;0.685748816;5.294514852;0.687800064;0.300934704;0.161264652;1.885352967;47
Ameiurus nebulosus;Ameiurus nebulosus;0.268012891;0.345555201;0.503887887;0.463754674;3.969638561;0.490174198;0.347816005;0.153249389;1.839310528;55
Amia calva;Amia calva;0.239979202;0.426656985;0.98276816;0.566364057;4.835800737;0.564385118;0.203431917;0.125053001;1.36475708;109
Ammocrypta clara;Ammocrypta clara;0.590915319;0.157762307;0.659975336;0.425466729;7.183510638;0.570869837;0.425466729;0.14737824;1.933787808;7
Amniataba percoides;Amniataba percoides;0.518725926;0.276024412;0.388874074;0.43855936;2.598045877;0.405856357;0.312160659;0.195897189;2.608495982;18
Anguilla anguilla;Anguilla anguilla;0.249665422;0.720516313;0.394942594;0.821233167;16.2191429;0.634091873;0.604546774;0.04466753;0;133
Anguilla australis;Anguilla australis;0.311512112;0.500616174;0.374647383;0.573910584;11.91949332;0.451180832;0.573910584;0.037081167;0;130
Anguilla reinhardtii;Anguilla reinhardtii;0.292541908;0.386335896;0.593610915;0.487382522;8.025158672;0.366791773;0.52447211;0.065195694;0;200
Anguilla rostrata;Anguilla rostrata;0.31401802;0.152306862;1.064214618;0.32608484;16.53261822;0.393905601;0.577587199;0.037438892;0;152
Aphredoderus sayanus;Aphredoderus sayanus;0.321428571;0.572288456;0.287946429;0.581351168;3.188930891;0.542793448;0.409644276;0.179561218;2.404761905;14
Aplodinotus grunniens;Aplodinotus grunniens;0.381944444;0.221978663;0.545482639;0.437381228;2.771378151;0.42003019;0.410993707;0.223393187;2.734042553;95
Arrhamphus sclerolepis;Arrhamphus sclerolepis;0.634146341;0.543557005;0.526512195;0.517951565;6.589369232;0.569009784;0.697411699;0.130548424;3.875;36
Astyanax mexicanus;Astyanax mexicanus;0.440611385;0.516996332;0.262159846;0.493886355;2.803642439;0.480657768;0.141085866;0.148993573;2.981330328;12
Atherina presbyter;Atherina boyeri;0.550913043;0.772539198;0.536231884;0.725472123;4.808936533;0.691278866;0.725472123;0.177388105;3.428571429;20
Awaous acritosus;Awaous ocellaris;0.259216057;0.457224137;0.673980263;0.706078013;4.475135401;0.590940423;0.49408611;0.139384604;2.083200476;13
Barbatula barbatula;Barbatula barbatula;0.30066;0;NA;0.489219782;6.724161164;0.673763644;0;0.144789579;1.754811321;21
Barbatula quignardi;Barbatula barbatula;0.30066;0;NA;0.489219782;6.724161164;0.673763644;0;0.144789579;1.754811321;21
Barbus barbus;Barbus barbus;0.23787234;0;0.298638298;0.371264757;4.068372397;0.388291764;0.239724726;0.155661105;2.304620804;120
Barbus haasi;Barbus haasi;0.333333333;0.31583474;0.402466667;0.577246748;4.180501878;0.489902564;0.352392358;0.184914063;2.500125;30
