"sYNGEO_ID"	"begin"	"end"	"span"	"completeness"	"Origin"	"Longitude"	"Latitude"	"MAIN_BAS"	"Shape_Leng"	"Shape_Area"
"241"	2004	2013	10	1	"France"	5.165636186	47.0737	2080016510	28.0049163898	11.1973423797
"242"	2004	2013	10	1	"France"	4.946774568	46.51408	2080016510	28.0049163898	11.1973423797
"249"	2004	2013	10	0.9	"France"	5.018529049	46.94337	2080016510	28.0049163898	11.1973423797
"360"	2004	2013	10	0.8	"France"	5.917391454	47.84026	2080016510	28.0049163898	11.1973423797
"361"	2004	2013	10	0.8	"France"	5.550034885	47.2879	2080016510	28.0049163898	11.1973423797
"400"	2004	2013	10	0.9	"France"	4.597914602	44.28374	2080016510	28.0049163898	11.1973423797
"405"	2005	2013	9	1	"France"	3.938980208	44.07436	2080016510	28.0049163898	11.1973423797
"407"	2004	2013	10	1	"France"	4.211484813	44.25154	2080016510	28.0049163898	11.1973423797
"408"	2004	2013	10	1	"France"	3.75054294	44.17545	2080016510	28.0049163898	11.1973423797
"623"	2004	2013	10	1	"France"	6.334245081	44.61489	2080016510	28.0049163898	11.1973423797
"627"	2004	2013	10	0.9	"France"	5.618047763	43.6409	2080016510	28.0049163898	11.1973423797
"628"	2004	2013	10	1	"France"	5.364557167	43.71019	2080016510	28.0049163898	11.1973423797
"630"	2004	2013	10	0.9	"France"	4.622915558	43.67891	2080016510	28.0049163898	11.1973423797
"634"	2004	2013	10	1	"France"	4.916184633	43.88828	2080016510	28.0049163898	11.1973423797
"635"	2004	2013	10	1	"France"	6.275183589	44.26627	2080016510	28.0049163898	11.1973423797
"641"	2004	2013	10	0.8	"France"	5.964437451	44.03534	2080016510	28.0049163898	11.1973423797
"649"	2004	2013	10	1	"France"	5.754148025	45.36359	2080016510	28.0049163898	11.1973423797
"650"	2004	2013	10	1	"France"	5.554920123	45.09351	2080016510	28.0049163898	11.1973423797
"651"	2004	2013	10	1	"France"	4.546427802	46.18851	2080016510	28.0049163898	11.1973423797
"652"	2004	2013	10	1	"France"	4.728940626	45.94411	2080016510	28.0049163898	11.1973423797
"656"	2004	2013	10	0.8	"France"	5.212405908	45.81653	2080016510	28.0049163898	11.1973423797
"659"	2004	2013	10	1	"France"	4.615761495	45.23504	2080016510	28.0049163898	11.1973423797
"660"	2004	2013	10	1	"France"	5.088671483	45.81158	2080016510	28.0049163898	11.1973423797
"666"	2004	2013	10	1	"France"	4.780833767	45.58124	2080016510	28.0049163898	11.1973423797
"668"	2004	2013	10	1	"France"	5.376203494	45.03923	2080016510	28.0049163898	11.1973423797
"674"	2005	2013	9	1	"France"	5.548479468	45.71204	2080016510	28.0049163898	11.1973423797
"677"	2004	2013	10	0.9	"France"	5.195955296	46.25763	2080016510	28.0049163898	11.1973423797
"814"	2004	2013	10	1	"Spain"	-2.8913	42.90929	2080017150	25.0609017627	9.29154235916
"821"	2004	2013	10	1	"Spain"	-2.577459	42.86305	2080017150	25.0609017627	9.29154235916
"830"	2004	2013	10	1	"Spain"	-2.398154	42.69436	2080017150	25.0609017627	9.29154235916
"837"	2004	2013	10	0.9	"Spain"	-2.399256	42.8584	2080017150	25.0609017627	9.29154235916
"843"	2004	2013	10	1	"Spain"	-2.334549	42.67485	2080017150	25.0609017627	9.29154235916
"847"	2004	2013	10	1	"Spain"	-2.896588	42.677	2080017150	25.0609017627	9.29154235916
"856"	2004	2013	10	1	"Spain"	-3.049634	42.82513	2080017150	25.0609017627	9.29154235916
"870"	2004	2013	10	1	"Spain"	-3.045683	42.77704	2080017150	25.0609017627	9.29154235916
"872"	2004	2013	10	0.9	"Spain"	-3.175783	42.87399	2080017150	25.0609017627	9.29154235916
"873"	2004	2013	10	1	"Spain"	-2.26487	42.86955	2080017150	25.0609017627	9.29154235916
"878"	2004	2013	10	0.9	"Spain"	-2.84529	42.69162	2080017150	25.0609017627	9.29154235916
"879"	2004	2013	10	0.9	"Spain"	-2.498491	42.88558	2080017150	25.0609017627	9.29154235916
"880"	2004	2013	10	0.9	"Spain"	-3.068161	42.87408	2080017150	25.0609017627	9.29154235916
"175"	2004	2013	10	0.9	"France"	3.212008609	44.98365	2080020590	18.3162494052	6.29941034341
"406"	2004	2013	10	1	"France"	3.491412752	44.07533	2080020590	18.3162494052	6.29941034341
"414"	2004	2013	10	1	"France"	3.52518019	44.72055	2080020590	18.3162494052	6.29941034341
"501"	2004	2013	10	1	"France"	1.425225645	44.47406	2080020590	18.3162494052	6.29941034341
"502"	2004	2013	10	1	"France"	1.102034196	44.09135	2080020590	18.3162494052	6.29941034341
"503"	2004	2013	10	1	"France"	1.348029188	44.08287	2080020590	18.3162494052	6.29941034341
"506"	2004	2013	10	1	"France"	1.554753071	44.57065	2080020590	18.3162494052	6.29941034341
"507"	2004	2013	10	1	"France"	2.103950004	44.69982	2080020590	18.3162494052	6.29941034341
"508"	2004	2013	10	1	"France"	2.838236118	44.29637	2080020590	18.3162494052	6.29941034341
"515"	2004	2013	10	1	"France"	2.837887003	44.68598	2080020590	18.3162494052	6.29941034341
"516"	2004	2013	10	1	"France"	1.657723421	44.50767	2080020590	18.3162494052	6.29941034341
"517"	2004	2013	10	1	"France"	1.171936526	43.95292	2080020590	18.3162494052	6.29941034341
"519"	2004	2013	10	0.9	"France"	2.22970346	44.58554	2080020590	18.3162494052	6.29941034341
"520"	2004	2013	10	0.9	"France"	1.799080635	43.54644	2080020590	18.3162494052	6.29941034341
"523"	2004	2013	10	0.9	"France"	1.500324784	42.91896	2080020590	18.3162494052	6.29941034341
"524"	2004	2013	10	1	"France"	1.117714716	43.17016	2080020590	18.3162494052	6.29941034341
"526"	2004	2012	9	1	"France"	0.804923832	42.917	2080020590	18.3162494052	6.29941034341
