,Species,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph,CTmax
1,Abramis brama,780,200,3.5,21.5,235034.5,1.6,NG_OS,Omnivore,30.32
2,Acanthopagrus australis,660,NA,4,14,NA,NA,NG_OS,Piscivore,38.35
3,Achondrostoma arcasii,250,20,2,NA,NA,NA,NG_OS,Omnivore,35.53
4,Alburnoides bipunctatus,156.67,50,2.5,15,5169,1.6,NG_OS,Omnivore,NA
5,Alburnus alburnus,220,75.75,1.88,8,6250,1.38,NG_OS,Invertivore,34.46
6,Alosa agone,380,215,2.5,6,NA,NA,NG_OS,Omnivore,NA
7,Alosa chrysochloris,500,279.5,2.5,4,519000,0.95,NG_OS,Invertivore-piscivore,NA
8,Ambassis agassizii,80,28,1,4,750,0.53,NG_OS,Invertivore,NA
9,Ambassis marianus,122,60,0.8,3,6642,0.7,NG_OS,Invertivore,NA
10,Ambloplites rupestris,430,98,2.5,18,6500,1.88,G_NS,Invertivore-piscivore,33.86
11,Ameiurus brunneus,290,254,3,6,1742,3,G_NS,Invertivore,38.6
12,Ameiurus melas,582.5,169,3,10,4250,2.27,G_NS,Invertivore-piscivore,36.76
13,Ameiurus natalis,470,233,2.5,7,4325,2.6,G_NS,Invertivore-piscivore,37.15
14,Ameiurus nebulosus,483.33,174.5,3,10,6333.33,2.1,G_NS,Invertivore-piscivore,36.83
15,Amia calva,1090,605,4.5,30,33000,2.58,G_NS,Invertivore-piscivore,36.44
16,Ammocrypta clara,71,52.5,1,3,192.5,0.875,NG_OS,Invertivore,35.22
17,Amniataba percoides,200,80,0.8,4,125000,0.4,NG_OS,Omnivore,NA
18,Anguilla anguilla,1776.67,587.5,11.75,52.5,2.00E+06,0.87,NG_OS,Invertivore-piscivore,35.12
19,Anguilla australis,1100,840,20.5,32,6250000,0.24,NG_OS,Invertivore-piscivore,NA
20,Anguilla reinhardtii,2000,740,25,45,2.00E+06,0.22,NG_OS,Invertivore-piscivore,NA
21,Anguilla rostrata,1120,520.5,12,50,1450000,0.73,NA,Invertivore-piscivore,36.6
22,Aphredoderus sayanus,140,35,2,5,144.5,1.35,G_NS,Invertivore-piscivore,36.75
23,Aplodinotus grunniens,950,386,5.5,17,267500,1.4,NG_OS,Invertivore-piscivore,33.84
24,Arrhamphus sclerolepis,400,215,1,7,7500,2.5,NG_OS,Herbivore-detritivore,NA
25,Astyanax mexicanus,120,60,0.5,2,18714,0.7,NG_BH,Omnivore,38.02
