,Species,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph,CTmax
26,Atherina presbyter,200,NA,1.5,4,224.4,NA,NG_OS,Invertivore,NA
27,Awaous acritosus,200,70,2,5,3.00E+05,0.3,G_SC,Omnivore,NA
28,Barbatula barbatula,183.33,55.5,2,7,3785.67,0.8,NG_OS,Invertivore,33.29
29,Barbatula quignardi,70,40,NA,NA,NA,NA,NA,Invertivore,NA
30,Barbus barbus,1000,280,4.5,16,36400,2.17,NG_OS,Invertivore,33.1
31,Barbus haasi,300,25,1,NA,5000,NA,NG_OS,Invertivore,34.98
32,Barbus meridionalis,267,NA,2.5,NA,23185,NA,NG_OS,Omnivore,33.99
33,Blicca bjoerkna,346.67,135,3.25,12.5,72666.67,1.67,NG_OS,Omnivore,30.86
34,Campostoma anomalum,220,94.5,2.5,5,2475,1.7,NG_BH,Herbivore-detritivore,35.63
35,Campostoma oligolepis,220,94,2.5,4,1510,1.4,NG_BH,Herbivore-detritivore,35.17
36,Carassius auratus,562.5,132.17,2.5,14.67,217833.33,1.48,NG_BH,Omnivore,38.52
37,Carassius carassius,563.33,95,2.25,12.5,61935.5,1.39,NG_OS,Omnivore,31.41
38,Carassius gibelio,433.33,138.75,2,27.5,261666.67,1.11,NG_OS,Omnivore,NA
39,Carpiodes carpio,640,291.75,4,11,1.00E+05,1.35,NG_OS,Herbivore-detritivore,36.43
40,Carpiodes cyprinus,660,277,4,12,187617.5,1.7,NG_OS,Herbivore-detritivore,NA
41,Carpiodes velifer,500,229,4,8,51999.5,1.2,NG_OS,Herbivore-detritivore,35.29
42,Catostomus commersonii,640,342,2.75,17,80000,2.41,NG_OS,Omnivore,33.43
43,Chelon labrosus,750,295,2,25,4.00E+05,1.3,NG_OS,Omnivore,NA
44,Chelon ramada,622.5,259,2,10,3.00E+05,0.59,NG_OS,Omnivore,NA
45,Chondrostoma nasus,486.67,197.75,3.75,14.5,45333.33,1.75,NG_OS,Omnivore,34.03
46,Cobitis taenia,142.5,53,1,5,1225,1.78,NG_OS,Invertivore,33.76
47,Coregonus albula,437.5,170,2,10,8766.67,1.39,NG_OS,Invertivore,28.68
48,Cottus bairdii,150,74,2,6,2000,2.35,G_NS,Invertivore,31.09
49,Cottus carolinae,180,105,2,6,691.5,2.25,G_NS,Invertivore,34.15
50,Cottus gobio,170,48.5,1.5,6.5,433.33,2.42,G_NS,Invertivore,30.32
51,Cottus poecilopus,150,60,2,6.5,250.25,3,G_NS,Invertivore,28.84
52,Craterocephalus marjoriae,97,33,0.9,2,200,1.02,NG_OS,Omnivore,NA
53,Craterocephalus stercusmuscarum,125,36,0.9,3,500,1.17,NG_OS,Omnivore,37.91
54,Ctenopharyngodon idella,1466.67,600,6,20.67,916666.67,1.38,NG_OS,Herbivore-detritivore,36.23
55,Cycleptus elongatus,930,574,5.5,13,112873.5,2.2,NG_OS,Omnivore,35.27
56,Cyprinella galactura,150,60.5,1.5,4,1109.5,1.6,G_NS,Invertivore,37.42
57,Cyprinella lutrensis,90,45.5,1.5,3,842.5,1.15,G_NS,Omnivore,37.73
58,Cyprinella spiloptera,120,42.5,1.5,5,7474,1.2,G_NS,Omnivore,36.47
59,Cyprinella venusta,190,37,1.5,4,459,1.155,G_NS,Invertivore,38.69
60,Cyprinodon pecosensis,50,20,0.5,3,130,NA,NG_OS,Omnivore,NA
61,Cyprinus carpio,1230,420,3.63,36.75,887750,1.3,NG_OS,Omnivore,36.44
62,Dicentrarchus labrax,1015,420,5.5,30,1100785,1.13,NG_OS,Piscivore,33.43
63,Dorosoma cepedianum,570,212.5,2,10,283158.5,0.75,NG_OS,Omnivore,35.3
64,Dorosoma petenense,220,93.5,2,4,12900,0.82,NG_OS,Invertivore,33.06
65,Erimystax insignis,92,52.1,1,2.5,550,1.675,NG_OS,Invertivore,35.92
66,Esox americanus,394,153,2,8,2385,1.95,NG_OS,Piscivore,36.20
67,Esox lucius,1435,478,3.67,27.33,220672.75,2.76,NG_OS,Piscivore,28.98
68,Esox masquinongy,1830,711.5,4,39,230358.5,3,NG_OS,Piscivore,35.42
69,Etheostoma asprigene,71,43,1,3,209,1.06,NG_BH,Invertivore,35.91
70,Etheostoma blennioides,170,63,1.5,5,1200,1.83,G_NS,Invertivore,35.76
71,Etheostoma caeruleum,77,42,1,5,739,1.45,NG_BH,Invertivore,34.9
72,Etheostoma camurum,84,61,1,3,100,1.9,NG_BH,Invertivore,34.99
73,Etheostoma chlorobranchium,100,56.5,1,5,400,1.42,G_NS,Invertivore,34.69
74,Etheostoma cinereum,120,60.5,1.5,4.3,150,2.05,G_SC,Invertivore,35.78
75,Etheostoma exile,72,44,1,4,1198,1.05,NG_OS,Invertivore,31.98
76,Etheostoma flabellare,84,50.5,1.5,5,1265,2.45,G_NS,Invertivore,34.88
77,Etheostoma jessiae,68,35,1,3,440,1.55,NG_BH,Invertivore,NA
78,Etheostoma kennicotti,83,30,1,3,130,2.15,G_NS,Invertivore,36.18
79,Etheostoma nigrum,72,46,1,4,723,1.225,G_NS,Invertivore,32.83
80,Etheostoma rufilineatum,84,54,1,4,177,1.9,NG_BH,Invertivore,35.39
81,Etheostoma swannanoa,90,57,1.5,4,120,2.05,NG_BH,Invertivore,35.24
82,Etheostoma tennesseense,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,Etheostoma vulneratum,80,44,2,4,91.5,3,G_NS,Invertivore,34.84
84,Etheostoma zonale,78,43,1.5,4,155.5,1.21,NG_BH,Invertivore,35.48
85,Fundulus catenatus,200,84,1,5,136.5,2,NG_OS,Invertivore,39.01
86,Fundulus diaphanus,100,40,1.5,3,142,1.45,NG_BH,Invertivore,37.87
87,Fundulus notatus,80,48,1,3,95,1.25,NG_BH,Omnivore,38.67
88,Fundulus zebrinus,80,48,2,3,65,1.25,NG_OS,Invertivore,39.65
89,Gambusia affinis,50,22,0.1,2,200.33,1.88,Bearer,Invertivore,40.23
90,Gambusia holbrooki,43.75,19.75,0.33,1.63,949.67,1.8,Bearer,Omnivore,39.77
91,Gasterosteus aculeatus,105,40.08,0.92,4.33,574.75,1.53,G_NS,Invertivore,31.28
92,Glossamia aprion,250,70,1,5,500,1.5,Bearer,Invertivore-piscivore,NA
93,Gobio gobio,200,67.9,2,8.5,6272.5,1.52,NG_OS,Invertivore,29
94,Gobio lozanoi,131.5,NA,1,NA,2000,NA,NG_OS,Invertivore,NA
95,Gobio occitaniae,155,NA,NA,NA,NA,NA,NA,Invertivore,NA
96,Gobiomorphus australis,225,75,3,8,180000,0.5,G_SC,Invertivore,NA
97,Gobiomorphus coxii,190,60,2,7,150000,0.5,G_SC,Invertivore,NA
98,Gymnocephalus cernua,262.5,100,2,10.67,106250,0.88,NG_OS,Invertivore,30.09
99,Hiodon alosoides,520,343,6.5,14,14763,3,NG_OS,Invertivore-piscivore,32.78
100,Hiodon tergisus,470,271.5,4,10,11100,2,NG_OS,Invertivore,NA
101,Hybognathus nuchalis,180,73,1.5,3,4500,0.9,NG_OS,Herbivore-detritivore,37.78
102,Hybognathus placitus,130,43,1,2,2275.5,1,NG_OS,Herbivore-detritivore,37.18
103,Hybopsis amblops,100,53.5,1,2,1000,0.96,NG_OS,Invertivore,37.23
104,Hypentelium nigricans,610,191.5,3.5,10,30000,3,NG_OS,Invertivore,33.81
105,Hypophthalmichthys molitrix,1087.5,573.33,2.83,12,512500,1.17,NG_OS,Herbivore-detritivore,36.27
106,Hypophthalmichthys nobilis,1276.67,608.33,4.5,20.33,1233458.33,2.43,NG_OS,Herbivore-detritivore,37.92
107,Hypseleotris compressa,120,50,1,5,32000,0.32,G_SC,Omnivore,NA
108,Hypseleotris galii,55,20,0.4,3,600,0.64,G_SC,Invertivore,38.15
109,Hypseleotris klunzingeri,60,30,1,3,1350,0.45,G_SC,Invertivore,37.04
110,Ictalurus furcatus,1650,590,6,21,19712,3.95,G_NS,Piscivore,38.04
111,Ictalurus punctatus,1320,279.5,2.5,25,35800,3.6,G_NS,Invertivore-piscivore,37.02
112,Ictiobus bubalus,1120,344.5,4.5,15,302400,2,NG_BH,Herbivore-detritivore,36.96
113,Ictiobus cyprinellus,1230,340,5.5,20,425000,1.5,NG_OS,Herbivore-detritivore,35.45
114,Ictiobus niger,1230,355,2,24,201276,2.1,NG_BH,Herbivore-detritivore,35.84
115,Kuhlia rupestris,450,200,4,7,NA,NA,NG_OS,Invertivore,38.18
116,Labidesthes sicculus,130,70,1,2,785,1,NG_OS,Invertivore,35.23
117,Leiopotherapon unicolor,330,60,0.5,5,1.00E+05,0.6,NG_OS,Omnivore,NA
118,Lepisosteus oculatus,1120,544,3.5,18,7785,3.65,NG_BH,Piscivore,NA
119,Lepisosteus osseus,2000,761,5,32,39133,2.85,NG_BH,Piscivore,35.98
120,Lepisosteus platostomus,880,431.5,2.5,20,36460,2.65,NG_BH,Invertivore-piscivore,36.1
121,Lepomis auritus,305,75,2,8,4764,1.2,G_NS,Invertivore,35.93
122,Lepomis cyanellus,310,71,2,10,6000,0.9,G_NS,Invertivore-piscivore,37.59
123,Lepomis gibbosus,362.5,92.67,2.33,10.67,2900,1,G_NS,Invertivore,35.86
124,Lepomis gulosus,310,87.5,1.5,8,33850,1.01,G_NS,Invertivore-piscivore,37.29
125,Lepomis humilis,150,52,2,7,2437.5,0.5,G_NS,Invertivore,35.82
126,Lepomis macrochirus,410,112,1.5,11,40950,1.2,G_NS,Invertivore-piscivore,36.81
127,Lepomis megalotis,240,77,2,9,11148,1.78,G_NS,Invertivore,37.26
128,Lepomis microlophus,432,155,2,8,44500,0.95,G_NS,Invertivore-piscivore,38.29
129,Leucaspius delineatus,90,36.7,1,2.5,641.67,1.07,G_SC,Omnivore,35.47
130,Leuciscus aspius,933.33,200,4,11,127979.5,1.45,NG_OS,Piscivore,34.92
131,Leuciscus burdigalensis,400,NA,NA,NA,NA,NA,NG_OS,Omnivore,NA
132,Leuciscus idus,720,113.33,5.33,18.67,93250,1.94,NG_OS,Omnivore,32.6
133,Leuciscus leuciscus,400,162.5,2.5,15.5,15000,1.45,NG_OS,Omnivore,32.57
134,Lota lota,1390,347,3.83,16.67,709930.5,1.41,NG_OS,Invertivore-piscivore,28.99
135,Lucania parva,50,25.4,0.33,3,55.5,1.02,NG_BH,Invertivore,38.38
136,Luciobarbus graellsii,725,175,4,16,17000,NA,NG_OS,Omnivore,35.13
137,Luxilus chrysocephalus,180,67,2,6,1025,1.24,G_NS,Omnivore,35.64
138,Luxilus coccogenis,140,70.5,2,4,968,1.41,G_NS,Invertivore,35.42
139,Luxilus cornutus,180,55.5,2,9,2170,1.25,G_NS,Omnivore,34.17
140,Lythrurus lirus,75,45,2,3,1000,NA,NG_BH,Invertivore,36.23
141,Maccullochella mariensis,800,300,4,48,1.00E+05,3.25,G_SC,Piscivore,NA
142,Macquaria ambigua,700,397,4,15,4.00E+05,1.1,NG_OS,Invertivore-piscivore,NA
143,Macquaria novemaculeata,600,200,5,22,1.00E+06,0.8,NG_OS,Invertivore-piscivore,NA
144,Macrhybopsis aestivalis,76,53.25,1,1.5,677.5,0.8,NG_OS,Invertivore,35.44
145,Macrhybopsis storeriana,230,105,1.5,4,6524.78,1.4,NG_OS,Invertivore,35.43
146,Megalops cyprinoides,1500,250,NA,44,NA,NA,NG_OS,Piscivore,38.1
147,Melanotaenia duboulayi,110,27,0.8,4,500,0.93,NG_OS,Omnivore,39.01
148,Menidia audens,150,90,1,2,20000,0.93,NG_OS,Invertivore,NA
149,Menidia beryllina,150,90,1,2,20000,0.93,NG_OS,Invertivore,NA
150,Micropterus dolomieu,690,265,3,15,14858,2.15,G_NS,Piscivore,35.44
151,Micropterus punctulatus,635,249.5,2.25,11,24050,1.25,G_NS,Piscivore,38.02
152,Micropterus salmoides,852.5,223,3,15.67,38250,1.6,G_SC,Piscivore,35.66
153,Minytrema melanops,500,317.5,3,8,40000,2.45,NG_OS,Invertivore,33.32
154,Misgurnus anguillicaudatus,248,102,2,10,2000,1.06,NG_BH,Omnivore,34.62
155,Mogurnda adspersa,140,55,0.5,3,500,1.03,G_SC,Invertivore,NA
156,Morone americana,495,232.5,2.5,14.5,163105,0.89,NG_OS,Invertivore-piscivore,34.95
157,Morone chrysops,450,273,2.5,9,527850,0.85,NG_OS,Invertivore-piscivore,35.47
158,Morone mississippiensis,460,234,3,9,26850,0.8,NG_OS,Invertivore-piscivore,37.05
159,Morone saxatilis,2000,450,5,31,2255500,1.18,NG_OS,Piscivore,35.01
160,Moxostoma anisurum,740,404.5,6,14,25625,1.2,NG_OS,Invertivore,32.72
161,Moxostoma breviceps,391,390,4,8,20250,3.2,NG_OS,Invertivore,35.42
162,Moxostoma carinatum,770,411,5,29,14581.5,3.35,NG_OS,Invertivore,35.78
163,Moxostoma duquesnii,510,230,4.5,10,9304.5,2.4,NG_OS,Invertivore,35.47
164,Moxostoma erythrurum,780,296.5,4,11,15725,2.35,NG_OS,Invertivore,35.18
165,Moxostoma macrolepidotum,750,365,4,14,26631,1.85,NG_OS,Invertivore,33.04
166,Mugil cephalus,1970,340,3,16,5800000,0.9,NG_OS,Herbivore-detritivore,NA
167,Nannoperca oxleyana,91,23,0.5,5,1300,0.9,NG_OS,Invertivore,NA
168,Nematalosa erebi,470,150,1,5,3.00E+05,0.42,NG_OS,Herbivore-detritivore,NA
169,Neogobius melanostomus,246,40,3,4,3000,2.5,G_NS,Invertivore,35.41
170,Nocomis biguttatus,260,105,2.5,4,727.5,1.65,G_NS,Omnivore,33.99
171,Nocomis micropogon,320,108.5,3,5,700,1.25,G_NS,Omnivore,34.02
172,Notemigonus crysoleucas,300,60,2,9,125572.5,1.02,NG_BH,Omnivore,35.6
173,Notesthes robusta,350,200,2,10,2000,1,NG_OS,Piscivore,NA
174,Notropis atherinoides,130,56,1.5,5,4800.5,0.85,NG_OS,Invertivore,33.55
175,Notropis blennius,130,77,2.5,5,2450,0.78,NG_OS,Invertivore,34.17
176,Notropis dorsalis,80,62,1.5,4,1137.5,0.91,NG_OS,Omnivore,34.8
177,Notropis girardi,80,24,1.5,4,2129,0.68,NG_OS,Invertivore,37.91
178,Notropis greenei,75,NA,1.5,3,1000,1.11,NG_OS,Invertivore,NA
179,Notropis hudsonius,150,67,1.5,5,4499,0.95,NG_OS,Omnivore,31.21
180,Notropis jemezanus,75,NA,1,2,NA,1.5,NG_OS,Invertivore,35.8
181,Notropis leuciodus,82,37,1.5,3,1000,1.13,NG_BH,Invertivore,36.81
182,Notropis lutipinnis,75,39.65,2,5,800,1.6,NG_BH,Invertivore,34.88
183,Notropis micropteryx,62,NA,1,3,887.5,1.2,NG_BH,Invertivore,35.94
184,Notropis photogenis,140,62,1.5,3,4500,1.02,NG_OS,Invertivore,35.64
185,Notropis shumardi,100,41,2,3,1000,1,NG_OS,Invertivore,35.57
186,Notropis simus,100,55.25,1,3,1885,0.88,NG_OS,Omnivore,33.42
187,Notropis spectrunculus,75,47,1,3,1000,NA,NG_OS,Invertivore,NA
188,Notropis stramineus,81,46,1.5,3,1405,0.81,NG_OS,Omnivore,NA
189,Notropis telescopus,94,45,2,3,1000,1.29,NG_OS,Invertivore,33.84
190,Notropis texanus,86,37.5,2,6,648,0.82,NG_OS,Herbivore-detritivore,36.19
191,Notropis volucellus,76,32.5,1,3,354.5,0.9,NG_BH,Omnivore,37
192,Notropis wickliffi,78,NA,NA,NA,NA,NA,NA,Omnivore,NA
193,Noturus eleutherus,130,42,2,5,76,1.9,G_NS,Invertivore,37.91
194,Noturus flavus,310,115.5,3.5,9,697,2.65,G_NS,Invertivore,36.79
195,Noturus gyrinus,130,48,1.5,4,183,1.8,G_NS,Invertivore,39.06
196,Noturus nocturnus,150,70.5,1.5,4.5,100.5,2.25,G_NS,Invertivore,39.41
197,Oncorhynchus mykiss,975,234.67,3,11,3862.5,4.38,NG_BH,Invertivore-piscivore,29.79
198,Opsopoeodus emiliae,64,49,1.5,3,270,0.93,G_NS,Omnivore,36.92
199,Oreochromis mossambicus,390,100,0.6,10.67,950,3,Bearer,Omnivore,39.61
200,Oxyeleotris lineolata,450,250,3,7,2.00E+05,1.75,G_SC,Invertivore-piscivore,NA
201,Pachychilon pictum,170,NA,NA,NA,NA,NA,NG_OS,Omnivore,34.87
202,Parachondrostoma miegii,273.5,25,2,NA,1000,1.5,NG_OS,Herbivore-detritivore,35.53
203,Parachondrostoma toxostoma,300,35,3,10,5575,NA,NG_OS,Omnivore,34.17
204,Perca flavescens,500,157.5,3,11,105475,1.85,NG_BH,Invertivore-piscivore,30.7
205,Perca fluviatilis,570,122,3,18.5,32706.67,1.82,G_SC,Invertivore-piscivore,31.79
206,Percina aurantiaca,180,102.5,2,4,750,2.1,NG_BH,Invertivore,34.96
207,Percina burtoni,160,104,2.5,7,800,1.265,NG_BH,Invertivore,34.94
208,Percina caprodes,180,102.5,1.5,4,1600,1.31,NG_BH,Invertivore,31.93
209,Percina copelandi,72,35,1,4,536,1.4,NG_BH,Invertivore,34.01
210,Percina evides,96,68,2,4,266,1.45,NG_BH,Invertivore,34.96
211,Percina macrolepida,110,77.5,2,4,275,1.4,NG_BH,Invertivore,36.35
212,Percina maculata,110,73,1.5,4,1042.5,1.5,NG_BH,Invertivore,34.7
213,Percina phoxocephala,96,45,1,5,1025,1.45,NG_BH,Invertivore,35.54
214,Percina sciera,130,51,1,4.5,1040,1.5,NG_BH,Invertivore,36.4
215,Percina shumardi,78,52.5,1,4,800,1.1,NG_OS,Invertivore,33.45
216,Percina squamata,130,NA,2,4,1500,NA,NG_OS,Invertivore,34.85
217,Percina williamsi,91,NA,NA,NA,NA,NA,NA,Invertivore,NA
218,Percopsis omiscomaycus,200,72.5,1.5,8,1032.5,1.58,NG_OS,Invertivore,31.02
219,Phenacobius crassilabrum,110,73,1.5,2.8,2000,NA,G_NS,Invertivore,35.16
220,Phenacobius mirabilis,120,90,2,5,1240,1.28,NG_OS,Invertivore,37.97
221,Phenacobius uranops,120,79,1.5,3,2000,NA,NG_OS,Invertivore,36.26
222,Philypnodon grandiceps,120,42,1,3,2000,1.5,G_SC,Invertivore,NA
223,Philypnodon macrostomus,50,25,1,3,250,0.7,G_SC,Invertivore,NA
224,Phoxinus bigerri,81,NA,NA,NA,NA,NA,NA,Invertivore,33.1
225,Phoxinus phoxinus,140,50,2,8,2290,1.35,NG_OS,Omnivore,29.52
226,Pimephales notatus,110,49.75,1,4,2650,1.06,G_NS,Omnivore,34.76
227,Pimephales promelas,100,55,1.15,6,5382,1,G_NS,Omnivore,34.49
228,Pimephales vigilax,89,50,1,5,710,1.1,G_NS,Omnivore,37.46
229,Platichthys flesus,550,170,2.75,15,1125000,1.1,NG_OS,Invertivore,32.75
230,Poecilia reticulata,60,16,0.3,1,30,1.65,Bearer,Omnivore,39.76
231,Polyodon spathula,2210,1295,8.5,30,541150,2.95,NG_OS,Invertivore,34.48
232,Pomoxis annularis,530,150,2.5,13,164288.5,0.85,G_NS,Invertivore-piscivore,31.91
233,Pomoxis nigromaculatus,490,150,2.5,13,95500,0.97,G_NS,Invertivore-piscivore,35.21
234,Ponticola kessleri,220,84,2,NA,825,NA,G_SC,Invertivore-piscivore,34.03
235,Porochilus rendahli,240,110,1,4,1000,1.3,NG_OS,Invertivore,NA
236,Proterorhinus semilunaris,95,40,1.5,5,100,1.3,G_NS,Invertivore,NA
237,Pseudomugil mellis,43,9,0.3,2,125,1.2,NG_OS,Herbivore-detritivore,NA
238,Pseudomugil signifer,80,24,0.5,2,75,1.4,NG_OS,Invertivore,NA
239,Pseudorasbora parva,123,34.5,1,5,2235,1.42,G_SC,Omnivore,33.5
240,Pungitius pungitius,90,54.5,1.5,4,178,1.23,G_NS,Invertivore,28.36
241,Pylodictis olivaris,1550,341.5,4.5,24,52038,3.25,G_NS,Piscivore,37.59
242,Redigobius bikolanus,42,20,0.8,3,1500,0.3,G_SC,Invertivore,39.83
243,Retropinna semoni,100,33,0.5,2,1000,0.73,NG_OS,Invertivore,NA
244,Rhadinocentrus ornatus,80,18,0.8,4,150,1.25,NG_OS,Invertivore,NA
245,Rhinichthys atratulus,100,72,2,4,4757.5,1.5,NG_BH,Omnivore,33.68
246,Rhinichthys cataractae,178,75,2,5,1140.5,1.6,NG_BH,Invertivore,31.85
247,Rhodeus amarus,97.5,32.5,1,5.1,114.5,2.8,Bearer,Omnivore,34.1
248,Rhodeus sericeus,105,36.67,2.33,5,126,2.81,NG_BH,Omnivore,31.8
249,Rutilus rutilus,506.67,135,3.5,17,54426.67,1.28,NG_OS,Omnivore,30.71
250,Salaria fluviatilis,150,10,1,5,725,1,G_NS,Invertivore,34.96
251,Salmo salar,1500,685,6.5,14,10500,6,NG_BH,Invertivore-piscivore,31.1
252,Salmo trutta,1200,174.67,3,28.67,5087.5,4.21,NG_BH,Invertivore-piscivore,29.46
253,Salvelinus alpinus,1070,382.5,3.75,40,2871,4.6,NG_BH,Invertivore-piscivore,24.85
254,Salvelinus fontinalis,807.5,233.33,3.17,12.67,2852.75,4.31,NG_BH,Invertivore-piscivore,29.57
255,Sander canadensis,760,266.5,3.5,13,117104,1.25,NG_OS,Piscivore,32.29
256,Sander lucioperca,1275,366.67,3.67,17.33,277500,1.19,G_NS,Piscivore,34.4
257,Sander vitreus,1070,379.5,4.5,29,319000,1.95,NG_OS,Piscivore,33.24
258,Sarmarutilus rubilio,269,61,1.25,6,12004,1.3,NG_OS,Omnivore,NA
259,Scaphirhynchus platorynchus,1000,450,5.75,12,40000,2.535,NG_OS,Invertivore,35.99
260,Scardinius erythrophthalmus,507.5,72.67,2.33,18,177500,1.36,NG_OS,Omnivore,34.94
261,Semotilus atromaculatus,300,65,1.5,7,4327,1.55,G_NS,Invertivore-piscivore,34.58
262,Silurus glanis,4166.67,600,3,55,396000,2.17,G_SC,Piscivore,36.15
263,Squalius cephalus,633.33,171,3,15,74475,1.37,NG_OS,Omnivore,34.8
264,Squalius laietanus,201,NA,NA,NA,NA,NA,NA,Omnivore,35.82
265,Tandanus tandanus,900,300,4,12,20000,2.5,G_NS,Invertivore,NA
266,Telestes souffia,230,30,3,NA,5500,2,NG_OS,Invertivore,33.18
267,Thymallus thymallus,566.67,151.5,2.5,12,10333.33,2.67,NG_BH,Invertivore,29.11
268,Tinca tinca,745,227.67,3.5,26.67,430000,1.03,NG_OS,Omnivore,34.34
269,Trachystoma petardi,810,360,4,14,NA,NA,NA,Herbivore-detritivore,NA
270,Umbra limi,140,71.5,2,9,1243,1.4,NG_BH,Invertivore,37.68
271,Xiphophorus hellerii,140,50.8,0.88,3,1320,NA,Bearer,Omnivore,NA
272,Xiphophorus maculatus,60,20.33,0.45,2.67,50,NA,Bearer,Omnivore,38.07
