"","TimeSeriesID","SurveyID","SiteID","Latitude","Longitude","BioRealm","HydroBasin","Country","Region","Province","Waterbody"
"1","G7438",23741,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"2","G7438",18208,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"3","G7438",23051,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"4","G7438",23052,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"5","G7438",23053,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"6","G7438",19191,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"7","G7438",21808,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"8","G7438",23415,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"9","G7438",17461,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"10","G7438",23054,"S1468",47.0737,5.165636186,"Palearctic",2080016510,"FRA","BOURGOGNE","COTE-D'OR","SAONE"
"11","G7441",20693,"S1481",46.51408,4.946774568,"Palearctic",2080016510,"FRA","BOURGOGNE","SAONE-ET-LOIRE","SEILLE"
"12","G7441",15531,"S1481",46.51408,4.946774568,"Palearctic",2080016510,"FRA","BOURGOGNE","SAONE-ET-LOIRE","SEILLE"
"13","G7441",21907,"S1481",46.51408,4.946774568,"Palearctic",2080016510,"FRA","BOURGOGNE","SAONE-ET-LOIRE","SEILLE"
"14","G7441",18615,"S1481",46.51408,4.946774568,"Palearctic",2080016510,"FRA","BOURGOGNE","SAONE-ET-LOIRE","SEILLE"
