siteid,year,air,water
S10015,1983,NA,6.291564902281173
S10015,1984,NA,6.366672770182315
S10015,1985,NA,6.418194658328348
S10015,1986,NA,6.487505555764246
S10015,1987,4.057051282051306,6.461681229028969
S10015,1988,4.12115384615387,6.461736786671197
S10015,1989,4.19615384615387,6.551685196314125
S10015,1990,4.144230769230793,6.454922367976285
S10015,1991,4.1730769230769464,6.506097216483897
S10015,1992,4.350000000000024,6.543304404234298
S10015,1993,4.471794871794897,6.614622419308416
S10015,1994,4.776282051282075,6.747505735739706
S10015,1995,4.762179487179511,6.769492085774762
S10015,1996,4.680128205128229,6.760613035544393
S10015,1997,4.61666666666669,6.719388482509538
S10015,1998,4.627564102564126,6.731205632136441
S10015,1999,4.655128205128228,6.777361512795496
S10015,2000,4.7512820512820735,6.8561569213867415
S10015,2001,4.851923076923099,6.9258087940705355
S10015,2002,4.9224358974359195,6.928600565592471
S10015,2003,4.989743589743612,7.039719371306613
S10015,2004,4.8493589743589975,7.003309487888979
S10015,2005,4.991666666666689,7.030923138242802
S10015,2006,4.951282051282073,7.0068377812703675
S10015,2007,4.93269230769233,7.120799546014718
S10015,2008,5.067307692307715,NA
S10015,2009,5.192307692307715,NA
S10015,2010,5.239102564102587,NA
S10015,2011,5.250641025641048,NA
S10015,2012,5.28269230769233,NA
S10015,2013,5.284294871794894,NA
S10015,2014,5.257992424242447,NA
S10015,2015,5.4864583333333545,NA
S10015,2016,5.641666666666689,NA
S10038,1983,NA,6.068073918269254
S10038,1984,NA,6.148374078212663
S10038,1985,NA,6.190925363393953
S10038,1986,NA,6.2724460308368615
S10038,1987,4.199358974358995,6.2431509164663685
S10038,1988,4.264743589743611,6.232555839342972
S10038,1989,4.342307692307713,6.339898877266148
S10038,1990,4.289102564102586,6.256566326434818
S10038,1991,4.319230769230791,6.238332073505131
S10038,1992,4.5012820512820735,6.28097823705431
S10038,1993,4.624358974358996,6.3407670632387045
S10038,1994,4.928846153846176,6.477644856770856
S10038,1995,4.913461538461561,6.4940257537059525
