"sYNGEO_ID","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013"
241,6.85833333333334,6.90833333333334,6.675,7.25833333333334,7.21666666666667,6.83333333333333,7,6.16666666666667,7.50833333333334,7.09166666666667,6.875
242,7.25833333333334,7.24166666666667,6.95833333333333,7.59166666666667,7.45,7.1,7.34166666666667,6.475,7.825,7.36666666666667,7.11666666666667
249,7,7.01666666666667,6.8,7.4,7.325,6.95,7.10833333333334,6.28333333333334,7.63333333333334,7.18333333333334,6.95833333333334
360,5.85833333333334,5.90833333333333,5.79166666666667,6.30833333333334,6.38333333333334,5.925,6.05833333333333,5.25,6.55,6.13333333333334,6
361,6.58333333333333,6.66666666666667,6.46666666666667,7.025,7,6.61666666666667,6.79166666666667,5.99166666666667,7.28333333333334,6.85,6.70833333333334
400,9.33333333333334,9.01666666666667,8.58333333333334,9.53333333333333,9.025,8.98333333333334,9.3,8.34166666666667,9.53333333333333,9.09166666666667,8.74166666666667
405,8.75,8.4,7.93333333333334,8.90833333333334,8.3,8.275,8.60833333333334,7.63333333333334,8.86666666666667,8.41666666666667,8.05
407,8.85833333333334,8.51666666666667,8.08333333333334,9.05,8.50833333333334,8.45833333333334,8.775,7.8,9.025,8.59166666666667,8.23333333333334
408,7.25,6.92500000000001,6.45,7.41666666666667,6.80833333333334,6.78333333333334,7.12500000000001,6.11666666666667,7.40833333333334,6.93333333333334,6.55833333333334
623,1.38333333333334,1.10833333333334,0.658333333333334,1.5,1.28333333333333,1.13333333333334,1.41666666666667,0.56666666666667,1.61666666666667,1.25833333333334,0.991666666666669
627,9.775,9.46666666666667,8.89166666666667,9.88333333333334,9.43333333333334,9.45833333333334,9.73333333333334,8.86666666666667,9.85,9.5,9.19166666666667
628,9.825,9.49166666666667,8.93333333333334,9.90833333333334,9.44166666666667,9.475,9.74166666666667,8.875,9.86666666666667,9.53333333333334,9.20833333333334
630,10.8833333333333,10.5333333333333,10.075,11.0583333333333,10.4416666666667,10.4833333333333,10.8083333333333,9.84166666666667,11.0083333333333,10.575,10.225
634,10.2333333333333,9.90000000000001,9.41666666666667,10.4083333333333,9.86666666666667,9.89166666666667,10.175,9.25,10.375,9.95833333333333,9.63333333333333
