BioRealm;HydroBasin;Country;SiteID_Orig;SiteID_Dest;TotLong_Meters
Australasia;5080070260;AUS;S7990;S7990;0
Australasia;5080070260;AUS;S7990;S8002;6061.165111
Australasia;5080070260;AUS;S7990;S8001;7319.91527
Australasia;5080070260;AUS;S7990;S8000;12881.04213
Australasia;5080070260;AUS;S7990;S7991;18331.09687
Australasia;5080070260;AUS;S7991;S7991;0
Australasia;5080070260;AUS;S7991;S8000;5450.054745
Australasia;5080070260;AUS;S7991;S8002;13619.01463
Australasia;5080070260;AUS;S7991;S8001;14877.76478
Australasia;5080070260;AUS;S7991;S7990;18331.09687
Australasia;5080070260;AUS;S7997;S7997;0
Australasia;5080070260;AUS;S7997;S7999;22004.59218
Australasia;5080070260;AUS;S7997;S7998;25167.07154
Australasia;5080070260;AUS;S7998;S7998;0
Australasia;5080070260;AUS;S7998;S7999;10100.11196
Australasia;5080070260;AUS;S7998;S7997;25167.07154
Australasia;5080070260;AUS;S7999;S7999;0
Australasia;5080070260;AUS;S7999;S7998;10100.11196
Australasia;5080070260;AUS;S7999;S7997;22004.59218
Australasia;5080070260;AUS;S8000;S8000;0
Australasia;5080070260;AUS;S8000;S7991;5450.054745
Australasia;5080070260;AUS;S8000;S8002;8168.959881
Australasia;5080070260;AUS;S8000;S8001;9427.71004
Australasia;5080070260;AUS;S8000;S7990;12881.04213
Australasia;5080070260;AUS;S8001;S8001;0
Australasia;5080070260;AUS;S8001;S8002;1258.750159
Australasia;5080070260;AUS;S8001;S7990;7319.91527
Australasia;5080070260;AUS;S8001;S8000;9427.71004
Australasia;5080070260;AUS;S8001;S7991;14877.76478
Australasia;5080070260;AUS;S8002;S8002;0
Australasia;5080070260;AUS;S8002;S8001;1258.750159
Australasia;5080070260;AUS;S8002;S7990;6061.165111
Australasia;5080070260;AUS;S8002;S8000;8168.959881
Australasia;5080070260;AUS;S8002;S7991;13619.01463
Australasia;5080070390;AUS;S8045;S8045;0
Australasia;5080070390;AUS;S8045;S8129;29932.28518
Australasia;5080070390;AUS;S8045;S8130;30324.49405
Australasia;5080070390;AUS;S8045;S8128;40567.12139
Australasia;5080070390;AUS;S8045;S8132;55891.87997
Australasia;5080070390;AUS;S8045;S8135;58132.89408
Australasia;5080070390;AUS;S8045;S8131;68508.6696
Australasia;5080070390;AUS;S8045;S8136;107579.4427
Australasia;5080070390;AUS;S8045;S8124;117049.1801
Australasia;5080070390;AUS;S8045;S8126;117195.0425
Australasia;5080070390;AUS;S8045;S8122;131975.2054
Australasia;5080070390;AUS;S8045;S8121;140221.7428
Australasia;5080070390;AUS;S8045;S8123;142396.4309
Australasia;5080070390;AUS;S8045;S8120;152860.0869
Australasia;5080070390;AUS;S8045;S8119;159047.9568
Australasia;5080070390;AUS;S8045;S8103;168815.0985
Australasia;5080070390;AUS;S8045;S8102;179177.1401
Australasia;5080070390;AUS;S8045;S8100;184448.627
Australasia;5080070390;AUS;S8045;S8109;185704.8575
Australasia;5080070390;AUS;S8045;S8116;196404.5339
Australasia;5080070390;AUS;S8045;S8101;206376.866
Australasia;5080070390;AUS;S8045;S8115;227804.4746
Australasia;5080070390;AUS;S8045;S8105;230160.305
Australasia;5080070390;AUS;S8045;S8110;230872.3369
Australasia;5080070390;AUS;S8045;S8098;232403.1613
Australasia;5080070390;AUS;S8045;S8108;235070.5646
Australasia;5080070390;AUS;S8045;S8138;237107.7875
Australasia;5080070390;AUS;S8045;S8096;238293.7849
Australasia;5080070390;AUS;S8045;S8097;242013.1402
Australasia;5080070390;AUS;S8045;S8134;242497.8573
Australasia;5080070390;AUS;S8045;S8114;245344.1019
Australasia;5080070390;AUS;S8045;S8099;247286.2972
Australasia;5080070390;AUS;S8045;S8094;250458.0997
Australasia;5080070390;AUS;S8045;S8095;251955.747
Australasia;5080070390;AUS;S8045;S8092;252895.362
Australasia;5080070390;AUS;S8045;S8093;263758.0124
Australasia;5080070390;AUS;S8045;S8104;267470.2732
Australasia;5080070390;AUS;S8045;S8090;289162.54
Australasia;5080070390;AUS;S8045;S8091;298051.6812
Australasia;5080070390;AUS;S8090;S8090;0
